cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
61415,132,"InChI=1S/C12H24O2/c1-3-5-7-8-10-12(13)14-11-9-6-4-2/h3-11H2,1-2H3",CCCCCCC(=O)OCCCCC,CCCCCCC(=O)OCCCCC,PSQMUBJRXIGVIT-UHFFFAOYSA-N,pentyl heptanoate,-49.5 °C
73791,132,"InChI=1S/C12H26O5/c1-2-3-5-14-7-9-16-11-12-17-10-8-15-6-4-13/h13H,2-12H2,1H3",CCCCOCCOCCOCCOCCO,CCCCOCCOCCOCCOCCO,MXVMODFDROLTFD-UHFFFAOYSA-N,2-[2-[2-(2-butoxyethoxy)ethoxy]ethoxy]ethanol,-33 °C
75427,132,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3/t10-/m1/s1",C[C@H](CCC=C(C)C)CC=O,CC(CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-SNVBAGLBSA-N,"(3R)-3,7-dimethyloct-6-enal",< 25 °C
15232793,132,"InChI=1S/C17H36O2/c18-16-14-12-10-8-6-4-2-1-3-5-7-9-11-13-15-17-19/h18-19H,1-17H2",C(CCCCCCCCO)CCCCCCCCO,C(CCCCCCCCO)CCCCCCCCO,WNZVVHVYAKZZBU-UHFFFAOYSA-N,"heptadecane-1,17-diol",96 - 96.5 °C
16682942,132,"InChI=1S/C2H3N4.CH3.Hg/c3-1-6-2(4)5;;/h(H3-,4,5,6);1H3;/q-1;;+1",C[Hg]/N=C(\N)/NC#N,C[Hg]N=C(N)NC#N,JVJUWCMBRUMDDQ-UHFFFAOYSA-N,[(E)-[amino-(cyanoamino)methylidene]amino]-methylmercury,"313 °F (EPA, 1998)"
16685306,132,"InChI=1S/C2H3N4.CH3.Hg/c3-1-6-2(4)5;;/h(H3-,4,5,6);1H3;/q-1;;+1",C[Hg]N=C(N)NC#N,C[Hg]N=C(N)NC#N,JVJUWCMBRUMDDQ-UHFFFAOYSA-N,[[amino-(cyanoamino)methylidene]amino]-methylmercury,"313 °F (EPA, 1998)"
16698637,132,"InChI=1S/C2H3N4.CH3.Hg/c3-1-6-2(4)5;;/h(H3-,4,5,6);1H3;/q-1;;+1",C[Hg]/N=C(/N)\NC#N,C[Hg]N=C(N)NC#N,JVJUWCMBRUMDDQ-UHFFFAOYSA-N,[(Z)-[amino-(cyanoamino)methylidene]amino]-methylmercury,"313 °F (EPA, 1998)"
5216,131,"InChI=1S/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h3-4H2,1-2H3,(H2,9,10,11,12,13)",CCNC1=NC(=NC(=N1)Cl)NCC,CCNC1=NC(=NC(=N1)Cl)NCC,ODCWYMIRDDJXKW-UHFFFAOYSA-N,"6-chloro-2-N,4-N-diethyl-1,3,5-triazine-2,4-diamine","437 to 441 °F (NTP, 1992)"
6947,131,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",C1=CC=C(C(=C1)[N+](=O)[O-])O,C1=CC=C(C(=C1)[N+](=O)[O-])O,IQUPABOKLQSFBK-UHFFFAOYSA-N,2-nitrophenol,"113 to 115 °F (NTP, 1992)"
7418,131,"InChI=1S/C8H8O2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3,(H,9,10)",CC1=CC(=CC=C1)C(=O)O,CC1=CC(=CC=C1)C(=O)O,GPSDUZXPYCFOSQ-UHFFFAOYSA-N,3-methylbenzoic acid,"232 to 235 °F (NTP, 1992)"
8373,131,"InChI=1S/C8H8O2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3,(H,9,10)",CC1=CC=CC=C1C(=O)O,CC1=CC=CC=C1C(=O)O,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,2-methylbenzoic acid,"225 to 226 °F (NTP, 1992)"
8375,131,"InChI=1S/C8H8O2/c1-6(9)7-4-2-3-5-8(7)10/h2-5,10H,1H3",CC(=O)C1=CC=CC=C1O,CC(=O)C1=CC=CC=C1O,JECYUBVRTQDVAT-UHFFFAOYSA-N,1-(2-hydroxyphenyl)ethanone,4 - 6 °C
10721,131,"InChI=1S/C8H7N/c1-7-4-2-3-5-8(7)6-9/h2-5H,1H3",CC1=CC=CC=C1C#N,CC1=CC=CC=C1C#N,NWPNXBQSRGKSJB-UHFFFAOYSA-N,2-methylbenzonitrile,"7.7 °F (NTP, 1992)"
11137,131,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",C1=CC(=CC(=C1)O)[N+](=O)[O-],C1=CC(=CC(=C1)O)[N+](=O)[O-],RTZZCYNQPHTPPL-UHFFFAOYSA-N,3-nitrophenol,"205 to 208 °F (NTP, 1992)"
11686,131,"InChI=1S/C5H8O4/c1-5(2,3(6)7)4(8)9/h1-2H3,(H,6,7)(H,8,9)",CC(C)(C(=O)O)C(=O)O,CC(C)(C(=O)O)C(=O)O,OREAFAJWWJHCOT-UHFFFAOYSA-N,"2,2-dimethylpropanedioic acid",192 °C
12104,131,"InChI=1S/C8H7N/c1-7-3-2-4-8(5-7)6-9/h2-5H,1H3",CC1=CC(=CC=C1)C#N,CC1=CC(=CC=C1)C#N,BOHCMQZJWOGWTA-UHFFFAOYSA-N,3-methylbenzonitrile,"-9 °F (NTP, 1992)"
13233,131,"InChI=1S/C9H18S3/c1-7(2)10-8(3,4)12-9(5,6)11-7/h1-6H3",CC1(SC(SC(S1)(C)C)(C)C)C,CC1(SC(SC(S1)(C)C)(C)C)C,NBNWHQAWKFYFKI-UHFFFAOYSA-N,"2,2,4,4,6,6-hexamethyl-1,3,5-trithiane",21.8 °C
14125,131,"InChI=1S/C15H16/c1-3-8-14(9-4-1)12-7-13-15-10-5-2-6-11-15/h1-6,8-11H,7,12-13H2",C1=CC=C(C=C1)CCCC2=CC=CC=C2,C1=CC=C(C=C1)CCCC2=CC=CC=C2,VEAFKIYNHVBNIP-UHFFFAOYSA-N,3-phenylpropylbenzene,6 °C
17697,131,"InChI=1S/C15H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16/h15H,2-14H2,1H3",CCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCC=O,XGQJZNCFDLXSIJ-UHFFFAOYSA-N,pentadecanal,24 - 25 °C
24535,131,"InChI=1S/2Na.H4O6P2/c;;1-7(2,3)8(4,5)6/h;;(H2,1,2,3)(H2,4,5,6)/q2*+1;/p-2",OP(=O)([O-])P(=O)(O)[O-].[Na+].[Na+],OP(=O)([O-])P(=O)(O)[O-].[Na+].[Na+],UESMVAGJGMPHAN-UHFFFAOYSA-L,disodium;hydroxy-[hydroxy(oxido)phosphoryl]phosphinate,250 °C
114926,131,"InChI=1S/C5H7N5O/c6-4-3(10-2-11)5(7)9-1-8-4/h1-2H,(H,10,11)(H4,6,7,8,9)",C1=NC(=C(C(=N1)N)NC=O)N,C1=NC(=C(C(=N1)N)NC=O)N,MVYUVUOSXNYQLL-UHFFFAOYSA-N,"N-(4,6-diaminopyrimidin-5-yl)formamide",224 - 226 °C
5287830,131,"InChI=1S/C5H3BrN4/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H,7,8,9,10)",C1=NC2=C(N1)C(=NC=N2)Br,C1=NC2=C(N1)C(=NC=N2)Br,CTGFGRDVWBZYNB-UHFFFAOYSA-N,6-bromo-7H-purine,>300 °C
6428802,131,"InChI=1S/C9H12N2/c1-6-7(2)11-9-5-3-4-8(9)10-6/h3-5H2,1-2H3",CC1=C(N=C2CCCC2=N1)C,CC1=C(N=C2CCCC2=N1)C,AIKNQWWUQFXNAZ-UHFFFAOYSA-N,"2,3-dimethyl-6,7-dihydro-5H-cyclopenta[b]pyrazine",25 - 27 °C
25202536,131,"InChI=1S/C6H11NO3/c8-4-1-2-5(6(9)10)7-3-4/h4-5,7-8H,1-3H2,(H,9,10)",C1CC([NH2+]CC1O)C(=O)[O-],C1CC([NH2+]CC1O)C(=O)[O-],RKEYKDXXZCICFZ-UHFFFAOYSA-N,5-hydroxypiperidin-1-ium-2-carboxylate,235 °C
4382,130,"InChI=1S/C9H13NO2/c1-10-5-4-7-2-3-8(11)9(12)6-7/h2-3,6,10-12H,4-5H2,1H3",CNCCC1=CC(=C(C=C1)O)O,CNCCC1=CC(=C(C=C1)O)O,NGKZFDYBISXGGS-UHFFFAOYSA-N,"4-[2-(methylamino)ethyl]benzene-1,2-diol",188 - 189 °C
5570,130,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",C[N+]1=CC=CC(=C1)C(=O)[O-],C[N+]1=CC=CC(=C1)C(=O)[O-],WWNNZCOKKKDOPX-UHFFFAOYSA-N,1-methylpyridin-1-ium-3-carboxylate,"Colorless prisms. MP: 218 °C (decomposes). Very soluble in water. Soluble in alcohol; nearly insoluble in ether, benzene, and chloroform /Trigonelline anhydrous/"
6041,130,"InChI=1S/C9H13NO2/c1-10-6-9(12)7-3-2-4-8(11)5-7/h2-5,9-12H,6H2,1H3/t9-/m0/s1",CNC[C@@H](C1=CC(=CC=C1)O)O,CNCC(C1=CC(=CC=C1)O)O,SONNWYBIRXJNDC-VIFPVBQESA-N,3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,140-145 °C
6163,130,"InChI=1S/C4H10O4S/c1-3-7-9(5,6)8-4-2/h3-4H2,1-2H3",CCOS(=O)(=O)OCC,CCOS(=O)(=O)OCC,DENRZWYUOJLTMF-UHFFFAOYSA-N,diethyl sulfate,"-12 °F (USCG, 1999)"
6944,130,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",CC1=CC=CC=C1[N+](=O)[O-],CC1=CC=CC=C1[N+](=O)[O-],PLAZTCDQAHEYBI-UHFFFAOYSA-N,1-methyl-2-nitrobenzene,"14.9 °F (NTP, 1992)"
7422,130,"InChI=1S/C7H7NO2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3",CC1=CC(=CC=C1)[N+](=O)[O-],CC1=CC(=CC=C1)[N+](=O)[O-],QZYHIOPPLUPUJF-UHFFFAOYSA-N,1-methyl-3-nitrobenzene,"59.9 °F (NTP, 1992)"
7836,130,"InChI=1S/C6H8O3/c1-2-6(7)9-4-5-3-8-5/h2,5H,1,3-4H2",C=CC(=O)OCC1CO1,C=CC(=O)OCC1CO1,RPQRDASANLAFCM-UHFFFAOYSA-N,oxiran-2-ylmethyl prop-2-enoate,Freezing point: -41.5 °C
8096,130,"InChI=1S/C6H10O4S/c7-5(8)1-3-11-4-2-6(9)10/h1-4H2,(H,7,8)(H,9,10)",C(CSCCC(=O)O)C(=O)O,C(CSCCC(=O)O)C(=O)O,ODJQKYXPKWQWNK-UHFFFAOYSA-N,3-(2-carboxyethylsulfanyl)propanoic acid,134 °C
8247,130,"InChI=1S/C8H10N2O/c1-7(11)9-10-8-5-3-2-4-6-8/h2-6,10H,1H3,(H,9,11)",CC(=O)NNC1=CC=CC=C1,CC(=O)NNC1=CC=CC=C1,UICBCXONCUFSOI-UHFFFAOYSA-N,N'-phenylacetohydrazide,"264 to 270 °F (NTP, 1992)"
10254,130,"InChI=1S/C10H12O/c1-7-4-8(2)10(6-11)9(3)5-7/h4-6H,1-3H3",CC1=CC(=C(C(=C1)C)C=O)C,CC1=CC(=C(C(=C1)C)C=O)C,HIKRJHFHGKZKRI-UHFFFAOYSA-N,"2,4,6-trimethylbenzaldehyde",14 °C
10387,130,"InChI=1S/C8H7ClO2/c9-8(10)11-6-7-4-2-1-3-5-7/h1-5H,6H2",C1=CC=C(C=C1)COC(=O)Cl,C1=CC=C(C=C1)COC(=O)Cl,HSDAJNMJOMSNEV-UHFFFAOYSA-N,benzyl carbonochloridate,0 °C
10849,130,"InChI=1S/C7H10N2/c1-3-5-9(7-8)6-4-2/h3-4H,1-2,5-6H2",C=CCN(CC=C)C#N,C=CCN(CC=C)C#N,ZOSAYFDMPYAZTB-UHFFFAOYSA-N,bis(prop-2-enyl)cyanamide,LESS THAN -70 °C
73917,130,"InChI=1S/C6H10O4/c1-10-6(9)4-2-3-5(7)8/h2-4H2,1H3,(H,7,8)",COC(=O)CCCC(=O)O,COC(=O)CCCC(=O)O,IBMRTYCHDPMBFN-UHFFFAOYSA-N,5-methoxy-5-oxopentanoic acid,150 - 151 °C
77918,130,"InChI=1S/C10H10N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-7,9H,8H2",C1=CC=C(C=C1)CN2C=CN=C2,C1=CC=C(C=C1)CN2C=CN=C2,KKKDZZRICRFGSD-UHFFFAOYSA-N,1-benzylimidazole,68-70 °C
208384,130,"InChI=1S/C8H10N2O/c9-6-8(11)10-7-4-2-1-3-5-7/h1-5H,6,9H2,(H,10,11)",C1=CC=C(C=C1)NC(=O)CN,C1=CC=C(C=C1)NC(=O)CN,QRKJNCRCYBKANP-UHFFFAOYSA-N,2-amino-N-phenylacetamide,"270 °F (NTP, 1992)"
5284443,130,"InChI=1S/C9H13NO2.ClH/c1-10-6-9(12)7-3-2-4-8(11)5-7;/h2-5,9-12H,6H2,1H3;1H/t9-;/m0./s1",CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,CNCC(C1=CC(=CC=C1)O)O.Cl,OCYSGIYOVXAGKQ-FVGYRXGTSA-N,3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol;hydrochloride,"284 to 293 °F (NTP, 1992)"
12287152,130,"InChI=1S/C10H12O/c1-7-4-10(6-11)5-8(2)9(7)3/h4-6H,1-3H3",CC1=CC(=CC(=C1C)C)C=O,CC1=CC(=CC(=C1C)C)C=O,SYBPMJLJCUCJGM-UHFFFAOYSA-N,"3,4,5-trimethylbenzaldehyde",52 °C
16682730,130,"InChI=1S/C6H5.C2H4O2.Hg/c1-2-4-6-5-3-1;1-2(3)4;/h1-5H;1H3,(H,3,4);/q;;+1/p-1",CC(=O)O[Hg]C1=CC=CC=C1,CC(=O)O[Hg]C1=CC=CC=C1,XEBWQGVWTUSTLN-UHFFFAOYSA-M,acetyloxy(phenyl)mercury,"300 °F (NTP, 1992)"
16682924,130,InChI=1S/C6H5.Hg.NO3/c1-2-4-6-5-3-1;;2-1(3)4/h1-5H;;/q;+1;-1,C1=CC=C(C=C1)[Hg]O[N+](=O)[O-],C1=CC=C(C=C1)[Hg]O[N+](=O)[O-],PDTFCHSETJBPTR-UHFFFAOYSA-N,nitrooxy(phenyl)mercury,"349 to 352 °F (NTP, 1992)"
25202909,130,"InChI=1S/C4H9NO3S/c1-9(8)2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)",CS(=O)CC(C(=O)[O-])[NH3+],CS(=O)CC(C(=O)[O-])[NH3+],ZZLHPCSGGOGHFW-UHFFFAOYSA-N,2-azaniumyl-3-methylsulfinylpropanoate,163 °C
135465076,130,"InChI=1S/C6H6N2O2.H3N/c9-7-8(10)6-4-2-1-3-5-6;/h1-5,9H;1H3/b8-7-;",C1=CC=C(C=C1)/[N+](=N/[O-])/[O-].[NH4+],C1=CC=C(C=C1)[N+](=N[O-])[O-].[NH4+],GXCSNALCLRPEAS-CFYXSCKTSA-N,azanium;(Z)-oxido-oxidoimino-phenylazanium,"325 to 327 °F (NTP, 1992)"
136951315,130,"InChI=1S/C6H6N2O2.H3N/c9-7-8(10)6-4-2-1-3-5-6;/h1-5,9H;1H3/b8-7+;",C1=CC=C(C=C1)/[N+](=N\[O-])/[O-].[NH4+],C1=CC=C(C=C1)[N+](=N[O-])[O-].[NH4+],GXCSNALCLRPEAS-USRGLUTNSA-N,azanium;(E)-oxido-oxidoimino-phenylazanium,"325 to 327 °F (NTP, 1992)"
525,129,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",C(C(C(=O)O)O)C(=O)O,C(C(C(=O)O)O)C(=O)O,BJEPYKJPYRNKOW-UHFFFAOYSA-N,2-hydroxybutanedioic acid,127-132 °C
7923,129,InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H,C1=CC(=O)OC1=O,C1=CC(=O)OC1=O,FPYJFEHAWHCUMM-UHFFFAOYSA-N,"furan-2,5-dione","127 °F (NTP, 1992)"
8706,129,"InChI=1S/C7H6N2S/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H2,8,9)",C1=CC=C2C(=C1)N=C(S2)N,C1=CC=C2C(=C1)N=C(S2)N,UHGULLIUJBCTEF-UHFFFAOYSA-N,"1,3-benzothiazol-2-amine","270 °F (NTP, 1992)"
10349,129,"InChI=1S/C5H8O4/c1-3(5(8)9)2-4(6)7/h3H,2H2,1H3,(H,6,7)(H,8,9)",CC(CC(=O)O)C(=O)O,CC(CC(=O)O)C(=O)O,WXUAQHNMJWJLTG-UHFFFAOYSA-N,2-methylbutanedioic acid,"232 to 234 °F (NTP, 1992)"
10813,129,"InChI=1S/C7H10ClN3/c1-5-4-6(11(2)3)10-7(8)9-5/h4H,1-3H3",CC1=CC(=NC(=N1)Cl)N(C)C,CC1=CC(=NC(=N1)Cl)N(C)C,HJIUPFPIEBPYIE-UHFFFAOYSA-N,"2-chloro-N,N,6-trimethylpyrimidin-4-amine","189 °F (EPA, 1998)"
10883,129,"InChI=1S/C7H12O3/c1-3-10-7(9)5-4-6(2)8/h3-5H2,1-2H3",CCOC(=O)CCC(=O)C,CCOC(=O)CCC(=O)C,GMEONFUTDYJSNV-UHFFFAOYSA-N,ethyl 4-oxopentanoate,< 25 °C
11622,129,"InChI=1S/C13H26O/c1-3-4-5-6-7-8-9-10-11-12-13(2)14/h3-12H2,1-2H3",CCCCCCCCCCCC(=O)C,CCCCCCCCCCCC(=O)C,CYIFVRUOHKNECG-UHFFFAOYSA-N,tridecan-2-one,"86.1 °F (NTP, 1992)"
13636,129,"InChI=1S/C6H2Cl4O/c7-2-1-3(8)5(10)6(11)4(2)9/h1,11H",C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,KEWNKZNZRIAIAK-UHFFFAOYSA-N,"2,3,5,6-tetrachlorophenol","237 to 241 °F (NTP, 1992)"
16584,129,InChI=1S/C5Cl5N/c6-1-2(7)4(9)11-5(10)3(1)8,C1(=C(C(=NC(=C1Cl)Cl)Cl)Cl)Cl,C1(=C(C(=NC(=C1Cl)Cl)Cl)Cl)Cl,DNDPLEAVNVOOQZ-UHFFFAOYSA-N,"2,3,4,5,6-pentachloropyridine",125.5 °C
18170,129,"InChI=1S/C8H7NS/c9-7-10-6-8-4-2-1-3-5-8/h1-5H,6H2",C1=CC=C(C=C1)CSC#N,C1=CC=C(C=C1)CSC#N,ABNDFSOIUFLJAH-UHFFFAOYSA-N,benzyl thiocyanate,41 - 42 °C
31398,129,InChI=1S/C4H4ClNO2/c5-6-3(7)1-2-4(6)8/h1-2H2,C1CC(=O)N(C1=O)Cl,C1CC(=O)N(C1=O)Cl,JRNVZBWKYDBUCA-UHFFFAOYSA-N,"1-chloropyrrolidine-2,5-dione",150 °C
61951,129,"InChI=1S/C7H8N2S/c1-5-8-2-6-3-10-4-7(6)9-5/h2H,3-4H2,1H3",CC1=NC=C2CSCC2=N1,CC1=NC=C2CSCC2=N1,XSUYIZJJKIKWFN-UHFFFAOYSA-N,"2-methyl-5,7-dihydrothieno[3,4-d]pyrimidine",64.5 - 65 °C
67184,129,InChI=1S/C4H4BrNO2/c5-6-3(7)1-2-4(6)8/h1-2H2,C1CC(=O)N(C1=O)Br,C1CC(=O)N(C1=O)Br,PCLIMKBDDGJMGD-UHFFFAOYSA-N,"1-bromopyrrolidine-2,5-dione",173-175 °C (slight decomposition)
92824,129,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m1/s1",C([C@H](C(=O)O)O)C(=O)O,C(C(C(=O)O)O)C(=O)O,BJEPYKJPYRNKOW-UWTATZPHSA-N,(2R)-2-hydroxybutanedioic acid,101 °C
222656,129,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m0/s1",C([C@@H](C(=O)O)O)C(=O)O,C(C(C(=O)O)O)C(=O)O,BJEPYKJPYRNKOW-REOHCLBHSA-N,(2S)-2-hydroxybutanedioic acid,107 °C
439162,129,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1",C([C@H](COP(=O)(O)O)O)O,C(C(COP(=O)(O)O)O)O,AWUCVROLDVIAJX-GSVOUGTGSA-N,"[(2R)-2,3-dihydroxypropyl] dihydrogen phosphate",102 - 104 °C
6950476,129,"InChI=1S/C5H8O4/c1-3(5(8)9)2-4(6)7/h3H,2H2,1H3,(H,6,7)(H,8,9)/t3-/m0/s1",C[C@@H](CC(=O)O)C(=O)O,CC(CC(=O)O)C(=O)O,WXUAQHNMJWJLTG-VKHMYHEASA-N,(2S)-2-methylbutanedioic acid,"232 to 234 °F (NTP, 1992)"
10103208,129,"InChI=1S/C5H8O4/c1-3(6)2-4(7)5(8)9/h4,7H,2H2,1H3,(H,8,9)",CC(=O)CC(C(=O)O)O,CC(=O)CC(C(=O)O)O,QTSNVMMGKAPSRT-UHFFFAOYSA-N,2-hydroxy-4-oxopentanoic acid,181 °C
978,128,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",C1=CC(=CC=C1C(=O)O)N,C1=CC(=CC=C1C(=O)O)N,ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-aminobenzoic acid,"370 to 372 °F (NTP, 1992)"
6318,128,"InChI=1S/C7H5ClO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",C1=CC(=CC=C1C(=O)O)Cl,C1=CC(=CC=C1C(=O)O)Cl,XRHGYUZYPHTUJZ-UHFFFAOYSA-N,4-chlorobenzoic acid,"469 °F (NTP, 1992)"
7002,128,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",CC1=CC=CC2=CC=CC=C12,CC1=CC=CC2=CC=CC=C12,QPUYECUOLPXSFR-UHFFFAOYSA-N,1-methylnaphthalene,"-8 °F (NTP, 1992)"
7055,128,"InChI=1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3",CC1=CC2=CC=CC=C2C=C1,CC1=CC2=CC=CC=C2C=C1,QIMMUPPBPVKWKM-UHFFFAOYSA-N,2-methylnaphthalene,"94.3 °F (NTP, 1992)"
8749,128,"InChI=1S/C8H10N2O/c1-10(2)8-5-3-7(9-11)4-6-8/h3-6H,1-2H3",CN(C)C1=CC=C(C=C1)N=O,CN(C)C1=CC=C(C=C1)N=O,CMEWLCATCRTSGF-UHFFFAOYSA-N,"N,N-dimethyl-4-nitrosoaniline","198.5 to 200.3 °F (NTP, 1992)"
11464,128,"InChI=1S/C7H5BrO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",C1=CC(=CC=C1C(=O)O)Br,C1=CC(=CC=C1C(=O)O)Br,TUXYZHVUPGXXQG-UHFFFAOYSA-N,4-bromobenzoic acid,"473.9 °F (NTP, 1992)"
13436,128,InChI=1S/C12H10S2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H,C1=CC=C(C=C1)SSC2=CC=CC=C2,C1=CC=C(C=C1)SSC2=CC=CC=C2,GUUVPOWQJOLRAS-UHFFFAOYSA-N,(phenyldisulfanyl)benzene,62 - 63 °C
31222,128,"InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H",C1=CC=C(C=C1)NNC2=CC=CC=C2,C1=CC=C(C=C1)NNC2=CC=CC=C2,YBQZXXMEJHZYMB-UHFFFAOYSA-N,"1,2-diphenylhydrazine","268 °F (NTP, 1992)"
31347,128,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,C1CCS(=O)(=O)C1,C1CCS(=O)(=O)C1,HXJUTPCZVOIRIF-UHFFFAOYSA-N,"thiolane 1,1-dioxide","79 °F (USCG, 1999)"
64960,128,"InChI=1S/C6H12O5/c7-1-4-6(10)5(9)3(8)2-11-4/h3-10H,1-2H2/t3-,4+,5+,6+/m0/s1",C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,C1C(C(C(C(O1)CO)O)O)O,MPCAJMNYNOGXPB-SLPGGIOYSA-N,"(2R,3S,4R,5S)-2-(hydroxymethyl)oxane-3,4,5-triol",142 - 143 °C
123689,128,"InChI=1S/C9H21N3O/c1-9(13)12-8-3-2-6-11-7-4-5-10/h11H,2-8,10H2,1H3,(H,12,13)",CC(=O)NCCCCNCCCN,CC(=O)NCCCCNCCCN,FONIWJIDLJEJTL-UHFFFAOYSA-N,N-[4-(3-aminopropylamino)butyl]acetamide,202 - 203 °C
560157,128,"InChI=1S/C6H12O5/c1-10-5-4(8)3(2-7)11-6(5)9/h3-9H,2H2,1H3",COC1C(C(OC1O)CO)O,COC1C(C(OC1O)CO)O,STGXGJRRAJKJRG-UHFFFAOYSA-N,"5-(hydroxymethyl)-3-methoxyoxolane-2,4-diol",137 - 138 °C
6991971,128,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m1/s1",C([C@H](C(=O)[O-])[NH3+])C(=O)N,C(C(C(=O)[O-])[NH3+])C(=O)N,DCXYFEDJOCDNAF-UWTATZPHSA-N,(2R)-4-amino-2-azaniumyl-4-oxobutanoate,234 - 235 °C
6992089,128,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",C([C@@H](C(=O)[O-])[NH3+])C(=O)N,C(C(C(=O)[O-])[NH3+])C(=O)N,DCXYFEDJOCDNAF-REOHCLBHSA-N,(2S)-4-amino-2-azaniumyl-4-oxobutanoate,234 - 235 °C
190,127,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",C1=NC2=NC=NC(=C2N1)N,C1=NC2=NC=NC(=C2N1)N,GFFGJBXGBJISGV-UHFFFAOYSA-N,7H-purin-6-amine,360dec °C
2901,127,"InChI=1S/C6H11NO2/c7-6(5(8)9)3-1-2-4-6/h1-4,7H2,(H,8,9)",C1CCC(C1)(C(=O)O)N,C1CCC(C1)(C(=O)O)N,NILQLFBWTXNUOE-UHFFFAOYSA-N,1-aminocyclopentane-1-carboxylic acid,330dec °C
7354,127,"InChI=1S/C8H14O2/c1-4-5-6-10-8(9)7(2)3/h2,4-6H2,1,3H3",CCCCOC(=O)C(=C)C,CCCCOC(=O)C(=C)C,SOGAXMICEFXMKE-UHFFFAOYSA-N,butyl 2-methylprop-2-enoate,"less than -58 °F (NTP, 1992)"
13404,127,InChI=1S/C7H4Cl2O/c8-6-2-1-5(4-10)7(9)3-6/h1-4H,C1=CC(=C(C=C1Cl)Cl)C=O,C1=CC(=C(C=C1Cl)Cl)C=O,YSFBEAASFUWWHU-UHFFFAOYSA-N,"2,4-dichlorobenzaldehyde","156 to 163 °F (NTP, 1992)"
16928,127,"InChI=1S/C9H12O3/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,10-11H,4-5H2,1H3",COC1=C(C=CC(=C1)CCO)O,COC1=C(C=CC(=C1)CCO)O,XHUBSJRBOQIZNI-UHFFFAOYSA-N,4-(2-hydroxyethyl)-2-methoxyphenol,40 - 42 °C
